doi,title,authors,category,fetch_date,verdict,confidence,super_category,sub_category,reason
10.64898/2026.04.28.721387,A low-dimensional transcriptional code enables decoding of BMP/TGFβ signaling from single-cell transcriptomes,"Ilan, G.; Eizenberg-Magar, I.; Wider, A.; Jiang, J.; Chen, S.; Park, J. H.; Olender, T.; Thomson, M.; Antebi, Y. E.",systems-biology,2026-05-01,RELEVANT,MEDIUM,computational,new_algorithm,ML model decoding extracellular signals from scRNA-seq transcriptomes; perception score quantifies pathway activity.
10.64898/2026.04.29.721096,Artificial intelligence aided design of peptides with custom secondary structure motifs and reduced amino acid alphabets,"Brown, S. M.; Cohen, A. B.; Dean, S. N.",bioinformatics,2026-05-01,RELEVANT,MEDIUM,computational,new_algorithm,Generative AI model for protein design with custom secondary structures; novel ML architecture trained on PDB data.
10.1101/2025.09.15.676250,CenSegNet: a generalist high-throughput deep learning framework for centrosome phenotyping at spatial and single-cell resolution in heterogeneous tissues,"Cheng, J.; Fan, K.; Bailey, M.; Du, X.; Jena, R.; Savva, C.; Reed, E.; Gou, M.; Zuo, P.; Beers, S.; Cutress, R.; Cai, X.; Elias, S.",cell-biology,2026-05-04,RELEVANT,MEDIUM,computational,software_tool,"Open-source deep learning framework for image segmentation and spatial quantification, released as Python library for tissue analysis."
10.64898/2026.04.30.722009,Cross-assay RNA modeling reveals cancer biomarkers,"Townsend, H. A.; Jordan, K. R.; Wolsky, R. J.; Van Kleunen, L. B.; Davidson, N. R.; Behbakht, K.; Sikora, M. J.; Dowell, R. D.; Clauset, A.; Bitler, B. G.",bioinformatics,2026-05-05,RELEVANT,MEDIUM,computational,benchmark,Systematic evaluation of harmonization and integration strategies across multiple transcriptomics platforms with quantitative comparison.
10.64898/2026.04.28.721280,Deep learning cell type classification using nuclear DNA patterns,"Sugimoto, K.; Tanaka, H.; Saito, T.",cell-biology,2026-05-01,RELEVANT,MEDIUM,computational,new_algorithm,CNN-based deep learning model for cell type classification from nuclear imaging; novel approach combining imaging and ML.
10.64898/2026.04.30.722013,Modeling healthy proteomic profiles for anomaly detection using subspace learning based one-class classification,"Sohrab, F.; Kumar, A.; Ahola, V.; Magis, A.; Hautamaki, V.; Heinaniemi, M.; Huang, S.",bioinformatics,2026-05-01,RELEVANT,MEDIUM,computational,new_algorithm,Novel one-class classification algorithm with data-driven parameter estimation for high-dimensional proteomics anomaly detection.
10.64898/2026.04.30.722079,Quantifying Somatic Mutation Burden: An Assay Validation Framework and Implementation in SomaticCODEC,"Johnstone, J. N.; Phie, J.; Fraser, C.",genomics,2026-05-05,RELEVANT,MEDIUM,experimental,protocol_optimization,Presents a validation framework and optimized assay (SomaticCODEC) for quantifying somatic mutation burden in single-cell/primary samples.
10.64898/2026.04.30.721639,"Supervised restricted data fusion with common, local & distinct components","White, F.; van der Ploeg, G. R.; Heintz-Buschart, A.; Dong, L.; Bouwmeester, H.; Smilde, A.; Westerhuis, J.",systems-biology,2026-05-04,RELEVANT,MEDIUM,computational,new_algorithm,Supervised multiblock decomposition method (PESCAR) for integrating response information with multi-omics data structure recovery.
10.1101/2025.09.02.673661,The role of contact guidance and ECM remodelling in cancer invasion: a computational study,"Botticelli, M.; Metzcar, J.; Macklin, P.; Keshavanarayana, P.; Spill, F.",systems-biology,2026-05-05,RELEVANT,MEDIUM,computational,new_algorithm,Hybrid agent-based computational model with novel ECM fiber mechanisms and mechanical remodeling for cancer invasion simulation.
10.64898/2026.04.30.721823,immuneKG: An Immune-Cell-Aware Knowledge Graph Framework for Target Discovery in Immune-Mediated Diseases,"Ye, Y.; PB-IDD Department, Pharmablock Sciences Inc.,  ",bioinformatics,2026-05-05,RELEVANT,MEDIUM,resource,infrastructure,Knowledge graph framework with curated immune-cell entities and disease features enabling data access and interoperability for target discovery.
10.1101/2025.07.28.667258,A Dynamic Model of Calcium Frequency Modulation by Mitochondrial Superoxide in Non-excitable Cells,"Same-Majandeh, A.; Shariatpanahi, S. P.; Hadichgeni, S.; Zandieh, A.; Goliaei, B.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Mathematical model of calcium signaling dynamics; not a single-cell omics method, tool, or resource."
10.64898/2026.02.22.706965,A Functional Placenta-On-Chip Model For Maternal-Fetal Transport,"Bhide, A.; Mukherjee, S.; Ghosh, K.; Majumder, A.; Modi, D.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,Organ-on-chip platform for studying placental biology and transport; application paper without single-cell or spatial omics methods.
10.64898/2026.05.01.722250,A MOPD II-associated Pericentrin variant disrupts PACT domain dimerization and pericentriolar material recruitment,"Thomas, M. S.; Galletta, B. J.; Ryniawec, J. M.; Amoiroglou, A.; Khan, C.; Fagerstrom, C. J.; Rogers, G. C.; Rusan, N. M.",cell-biology,2026-05-05,NOT_RELEVANT,HIGH,,,"Application paper reporting a biological finding about Pericentrin variant pathogenesis in MOPD II, not a method or resource."
10.64898/2026.05.01.722316,A complete human pancreatic cancer genome,"Wagner, J.; Keskus, A. G.; Oshima, K. K.; Ranallo-Benavidez, T. R.; McDaniel, J.; Sikic, M.; Lin, D.; Paulin, L. F.; English, A. C.; Sedlazeck, F. J.; Munding, E. M.; Sanborn, J. Z.; Carroll, A.; Chang, P.-C.; Cook, D. E.; Shafin, K.; de Ligt, J.; Hassaine, R.; Cameron, D.; Catreux, S.; Lee, Y.; Murray, L.; Truong, S.; Brueffer, C.; Zimin, A. V.; Cross, E.; McGowan, M.; Vernich, M.; Liss, A. S.; Kocher, J.-P.; Stephens, Z.; Ahmad, T.; Bryant, A.; Dwarshuis, N.; He, H.-J.; He, Z.; Olson, N. D.; Thibaud-Nissen, F.; Antipov, D.; Koren, S.; Phillippy, A.; Musunuri, R. L.; Narzisi, G.; Jain, M.; We",genomics,2026-05-06,NOT_RELEVANT,HIGH,,,Cancer genomics study focused on somatic variant discovery in a pancreatic cancer cell line; no single-cell methods or resources introduced.
10.64898/2026.04.30.721959,A diagnostic plasma omics-biomarker for Alzheimer's disease informed by microglial single-cell transcriptomics: A pilot study,"Lutz, M. W.; Man, Z.; Zheng, Y.; Venkatesan, S.; Chiba-Falek, O.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Application paper reporting a biological finding (AD biomarker discovery) using existing single-cell methods, not introducing new methodology or resource."
10.64898/2026.04.30.721887,"A gap-free, telomere-to-telomere genome assembly for the Caenorhabditis briggsae reference strain AF16","O'Connor, L. M.; Moya, N. D.; Jhaveri, N. S.; Tanny, R. E.; Khorshidian, A.; Lyu, H.; Chamberlin, H. M.; Baird, S. E.; Andersen, E. C.",genomics,2026-05-04,NOT_RELEVANT,HIGH,,,"Genome assembly and annotation project for C. briggsae; not a single-cell or spatial omics method, tool, or resource."
10.64898/2026.04.28.721348,"A high-quality, chromosome-scale genome assembly of the shade-tolerant wild rice, Oryza granulata","Zhang, F.; Yang, Y.-h.; Li, W.; Shi, C.; Zhu, X.-g.; Gao, L.-z.",bioinformatics,2026-05-01,NOT_RELEVANT,HIGH,,,"Plant whole-genome assembly, not single-cell omics method, tool, or resource."
10.64898/2026.04.28.721421,A sterol-binding pocket in iRhom1 underlies paralog-specific regulation of the sheddase ADAM17,"Lu, F.; Zhao, H.; Dai, Y.; Lee, C.-H.; Freeman, M.",cell-biology,2026-05-01,NOT_RELEVANT,HIGH,,,"Structural biology study of protein complexes; no single-cell method, tool, or resource contribution."
10.64898/2026.05.03.722338,A temporally regulated miRNA signature in pancreatic cancer extracellular vesicles disrupts the circadian clock and promotes muscle atrophy,"church, j.; aiello, i.; Ceci, A.; jang, G.; Finkielstein, C. V.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Biological findings paper using extracellular vesicles and miRNA analysis to study pancreatic cancer cachexia mechanisms, not a method or resource contribution."
10.64898/2026.05.03.722492,A threonine-to-aspartate ACA codon reassignment in uncultivated Acidimicrobiales bacteria,"Fakih, F.; Shulgina, Y.; Lukes, J.; Butenko, A.",genomics,2026-05-04,NOT_RELEVANT,HIGH,,,"Paper describes a biological discovery about genetic code variation in uncultivated bacteria, not a method or resource for single-cell omics."
10.64898/2026.04.28.721379,A transcriptional patient map of systemic lupus erythematosus reveals disease-related multicellular immune programs conserved between blood and kidney,"Linares-Blanco, J.; Schäfer, P. S. L.; Zimmermann, L.; Melo Ferreira, R.; Toro-Dominguez, D.; Carmona-Saez, P.; Tanevski, J.; Alarcon Riquelme, M. E.; Eadon, M. T.; Ramirez Flores, R. O.; Saez-Rodriguez, J.",systems-biology,2026-05-01,NOT_RELEVANT,HIGH,,,Application paper identifying disease-related immune programs and biomarkers in SLE using existing scRNA-seq and spatial methods.
10.64898/2026.04.30.721924,A universal taxonomic and functional human gut microbiome model for disease classification and phenotype discovery,"Karwowska, Z.; Mozejko, M.; Nowak, W.; Romanchenko, A.; Szczurek, E.; Kosciolek, T.",bioinformatics,2026-05-05,NOT_RELEVANT,HIGH,,,Application paper using deep learning for microbiome disease classification; not a single-cell/spatial omics method or resource.
10.64898/2026.05.03.722499,AI-guided discovery of atypical protein assemblies,"Toghani, A.; Seager, B. A.; Sugihara, Y.; Roijen, L.-M.; Azcue, J. M.; Garro, M.; Sargolzaei, M.; Morianou, I.; Harant, A.; Gallop, S.; Kourelis, J.; MacLean, D.; Contreras, M. P.; Kamoun, S.; Lüdke, D.",bioinformatics,2026-05-04,NOT_RELEVANT,HIGH,,,"Application of AI to structural biology; biological discovery about NLR protein assemblies, not a single-cell omics method."
10.1101/2025.11.24.690135,AKT1-phosphorylated TERT assembles a FOXO3-MYC transcriptional complex that drives ERphagy and proteostasis in post-mitotic RPE,"Babu, V. S.; Ghosh, S.; Bammidi, S.; Jiwon, R.; Sharma, R.; Meyer, D.; Hose, S.; Pattabiraman, P. P.; Sahel, J.-A.; Kidley, N. J.; Braz, N. F.; Slater, M. J.; Lang, S.; Ghosh, A.; Handa, J. T.; Yi, J.; Sripathi, S.; Rangaramanujam, K.; Bharti, K.; Sinha, D.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Application paper reporting mechanistic biological findings about RPE proteostasis and AMD, not a method, tool, or resource."
10.64898/2026.04.30.721908,ANYI: The ANnotated Yeast Interactome,"Nissley, D. A.; Goel, M.; Castellanos-Girouard, X.; Kuntz, C. P.; Wang, Y.; Mukhtar, S.; Serohijos, A.; Schlebach, J. P.",bioinformatics,2026-05-05,NOT_RELEVANT,HIGH,,,"Protein-protein interaction database for yeast; not a single-cell or spatial omics method, tool, or resource."
10.64898/2026.04.30.722108,Accessible Gibbs energy at metabolic activation limits long-term cell growth,"Barreto, Y. B.; Jongman, E. P. H.; Patino-Ruiz, M. F.; Grundel, D. A. J.; Uysal, M.; Coenradij, J.; Poolman, B.; Heinemann, M.",systems-biology,2026-05-05,NOT_RELEVANT,HIGH,,,"Fundamental biophysics study of metabolic constraints; no new single-cell method, tool, technology, or resource."
10.1101/2025.06.25.661454,Advancing in silico drug design with Bayesian refinement of AlphaFold models,"Sen, S.; Hoff, S. E.; Morozova, T. I.; Schnapka, V.; Bonomi, M.",bioinformatics,2026-05-06,NOT_RELEVANT,HIGH,,,"Drug design application paper; no single-cell omics method, technology, or resource contribution."
10.1101/2025.08.15.670543,African Pan Genome Contigs Expose Biologically Relevant Sequence Still Hidden from Human Reference Frameworks,"Martini, R.; Tijjani, A.; Founta, K.; Cha, D.; Awai, A.; Maurice, S.; White, J.; Mason, C.; Cortes-Ciriano, I.; Robine, N.; Balogun, O.; Chambwe, N.; Davis, M. B.",genomics,2026-05-06,NOT_RELEVANT,HIGH,,,"Genomics/assembly paper focused on reference genome completeness and ancestry bias, not single-cell omics methods or tools."
10.64898/2026.04.29.721634,Agent-Driven Validation of Oncology Therapeutic Targets,"Huang, K.-l.; Accelerated Discovery with Agents (ADA) Consortium,  ",genomics,2026-05-03,NOT_RELEVANT,HIGH,,,"Application paper using AI to validate oncology targets; no new scRNA-seq method, tool, or resource contribution."
10.1101/2025.11.05.684850,Algae-specific Immune Modulation Influences Responses to Heat and Pathogen Challenge in a Symbiotic Coral,"Da-Anoy, J.; Chen, M.-H.; Bouchie, A.; Dougherty, J.; Lapadula, A.; Skena, A.; Wang, W.; Abraham, T.; Thompson, K.; Jasnos, O.; Toyama, K. S.; Ayivor, J.; Diya, O.; Gilmore, T. D.; Davies, S. W.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,Application paper reporting biological findings about coral-algae symbiosis using scRNA-seq; not a method or resource.
10.64898/2026.05.01.722279,An LLM-driven pipeline for proteomics-based detection and structural modeling of post-translational modifications,"George, A.; Mejia-Rodriguez, D.; Li, X.; Rigor, P.; Cheung, M. S.; Bilbao, A.",bioinformatics,2026-05-06,NOT_RELEVANT,HIGH,,,"Paper focuses on proteomics and PTM structural modeling in bulk samples, not single-cell or spatial omics methods."
10.1101/2024.12.16.628708,An unsupervised framework for comparing SARS-CoV-2 protein sequences using LLMs,"Littlefield, S. B.; Campbell, R. H.",bioinformatics,2026-05-03,NOT_RELEVANT,HIGH,,,"Application of existing LLM methods to viral sequences; not a new scRNA-seq method, tool, or resource."
10.64898/2026.05.05.722798,"ArchaicSeeker 3.0: A deep-learning framework for scalable, haplotype-resolved inference of archaic introgression","Wang, B.; Lei, C.; Lin, H.; Shi, S.; Ma, X.; Zeng, W.; Yuan, K.; Ni, X.; Xu, S.",bioinformatics,2026-05-06,NOT_RELEVANT,HIGH,,,Population genetics method for archaic introgression detection; not a single-cell omics tool or resource.
10.64898/2025.12.08.692722,Asymmetric mitochondrial trafficking maintains network morphology by balancing perinuclear biogenesis,"Winter, J.; Landoni, J. C.; Holt, K.; Ben Nejma, S.; Durmus, E. B.; Kleele, T.; Koslover, E. F.; Manley, S.",cell-biology,2026-05-05,NOT_RELEVANT,HIGH,,,Cell biology study of mitochondrial trafficking using standard microscopy; no single-cell omics method or resource contribution.
10.64898/2026.04.30.721886,Autofluorescence intensity patterns encode α/β cell identity in human islets,"Squicccimarro, I.; Azzarello, F.; De Lorenzi, V.; Raimondi, F.; Ghelli, A.; Beltram, F.; Cardarelli, F.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Biological study of α/β cell identity using image analysis; not a new method, tool, or resource for single-cell omics."
10.64898/2026.04.29.721782,Automatic Bevacizumab Response Prediction in Ovarian Cancer from Digital Pathology Images via Novel AI-based Computational Pipeline,"Alsaiari, A.; Turki, T.; Taguchi, Y.-h.",bioinformatics,2026-05-04,NOT_RELEVANT,HIGH,,,"Application of existing computer vision and ML methods to predict drug response in ovarian cancer; no new single-cell/spatial omics method, tool, or resource."
10.1101/2025.08.13.670061,Autosomal Allelic Inactivation: Variable Replication and Dosage Sensitivity,"Heskett, M. B.; Vouzas, A.; Johnstone, B.; Freese, K. P.; Yates, P.; Copenhaver, P. F.; Spellman, P. T.; Gilbert, D. M.; Thayer, M. J.",genomics,2026-05-06,NOT_RELEVANT,HIGH,,,Characterization of epigenetic and replication patterns in autosomal loci; biological findings without method or resource contribution.
10.64898/2026.04.29.721002,Average local nucleosome motion remains constant during interphase in living human cells,"Nagata, Y.; Iida, S.; Shimazoe, M. A.; Tamura, S.; Nakazato, K.; Shimizu, K.; Hatoyama, Y.; Kanemaki, M.; Maeshima, K.",cell-biology,2026-05-01,NOT_RELEVANT,HIGH,,,"Biological study of chromatin dynamics using imaging; reports findings about nucleosome motion, not a method or resource."
10.64898/2026.04.29.721097,CD4+ T cell activation is dependent on a novel form of ULK1/2-independent autophagy,"Coffer, P. J.; Corrigan, E.; van Beek, J.; Raud, B.; Oliverira Lima, J.; de Maziere, A.; Knol, A.; Pals, C.; Amsen, D.; Klumperman, J.; Mocholi, E.",cell-biology,2026-05-01,NOT_RELEVANT,HIGH,,,"Biological discovery paper about autophagy mechanisms in T cells; no new single-cell method, tool, or resource."
10.1101/2025.10.08.681146,"CROP2, a Retriever-PROPPIN Complex Mediating Protein Export from Endosomes to the Plasma Membrane","De Leo, M. G.; Mayer, A.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Cell biology research on protein trafficking mechanisms, not a single-cell omics method or resource."
10.64898/2026.04.30.722012,Characterization of genetically effective cells and EMS mutagenesis on the novel winter oil seed Pennycress (Thlaspi arvense),"Brusa, A.; Branch, C.; Sulivan, L.; Chopra, R.; Rai, K.; Rockstad, G.; Gjesvold, E. S.; Ott, M.; Jain, S.; Biel, C. C.; Marks, M. D.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Plant mutagenesis study focused on crop improvement, not single-cell omics methods or tools."
10.64898/2026.05.01.722300,Cohesin extrudes chromatin loop unidirectionally through two modes of mechanisms in human cells,"Wang, P.; Meng, L.; Jiang, L.; Li, Y.; Huang, J.; Yu, T.; Chai, H.; Kim, M.; Wang, X.; Ruan, Y.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Biological investigation of cohesin-mediated 3D genome mechanics using existing methods, not a new method or resource."
10.64898/2026.02.15.705989,Comparative multi-omics of the macrophage response to infection with Mycobacterium tuberculosis complex bacteria reveals pathogen-driven epigenomic reprogramming,"Hall, T. J.; Mitermite, M.; O'Grady, J. F.; Browne, J. A.; McHugo, G. P.; Clark, E. L.; Salavati, M.; Gordon, S. V.; MacHugh, D. E.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Application paper using existing multi-omics methods to investigate macrophage-pathogen biology, not introducing methodology or resource."
10.64898/2026.04.28.721232,Confronting global eradication of TB head on: Uncovering the root of drug resistance and bacterial survival strategies through a comprehensive computational study of first-line TB drug resistant mutations,"Pawar, P.; Samarasinghe, S.",bioinformatics,2026-05-01,NOT_RELEVANT,HIGH,,,"Computational study of TB drug resistance mutations; biological findings paper, not a single-cell method or resource."
10.64898/2026.04.29.721613,Copper transport is required for metabolism and persistence of Toxoplasma gondii,"Pagura, L.; Todd-Nelson, J.; Merlet, C.; Hanna, J. C.; Faulds, L.; Chandrasekaran, S.; Park, S. C.; Koehler, K.; Sanchez-Rosario, Y.; Johnson, M. D.; Bissardon, C.; Cloetens, P.; Bowler, M. W.; Fairweather, S. J.; van Dooren, G. G.; Koshy, A. A.; Harding, C. R.",cell-biology,2026-05-02,NOT_RELEVANT,HIGH,,,"Parasitology research on copper metabolism in Toxoplasma; no single-cell methods, tools, or resources."
10.64898/2026.05.01.721929,DOMINO: Learning Domain Co-occurrence for Multidomain Protein Design,"Dai, F.; Su, J.; Tan, Q.; Yang, H.; Zhou, X.; Yuan, F.",bioinformatics,2026-05-05,NOT_RELEVANT,HIGH,,,"Protein design method using ML; not a single-cell omics tool, technology, platform, or resource."
10.64898/2026.05.01.722121,De-N-glycosylation of in vivo and in vitro adipogenic stem cell products unmasks differential expression of CD36 glycoprotein in human adipogenesis,"Wongtrakul-Kish, K.; Herbert, B. R.; Haynes, P. A.; Packer, N. H.",cell-biology,2026-05-05,NOT_RELEVANT,HIGH,,,"Biological study of adipogenesis using existing proteomics and glycomics methods; no new method, tool, or resource introduced."
10.64898/2026.04.30.721939,Deciphering the HDAC6-Mediated Regulation of MLLT3 in Myeloid Progenitor Cell Fate: Insights into Stem Cell Differentiation Dynamics,"Subahan, M. P.; Aribandi, A.; Kalle, A. M.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Biological findings about MLLT3 regulation during myeloid differentiation; no new method, tool, or resource introduced."
10.64898/2026.04.30.721849,Density-Dependent Rearrangement of Desmoplakin in Epithelial Junctions: Insights from Expansion Microscopy,"Kawasaki, U.; Arakawa, Y.; Ohashi, K.; Chiba, S.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,"Application paper using expansion microscopy to study desmosomal protein organization; biological finding, not a method contribution."
10.1101/2025.01.27.635147,Designing biochemical circuits with tree search,"Bhamidipati, P. S.; Thomson, M.",systems-biology,2026-05-03,NOT_RELEVANT,HIGH,,,"Biochemical circuit design tool; not related to single-cell omics methods, technologies, or resources."
10.64898/2026.04.28.721416,Differential peripheral immune dynamics underlie therapeutic response to chemotherapy and chemo-immunotherapy in triple-negative breast cancer,"mesrizadeh, z.; Mukund, K.; Subramaniam, S.",bioinformatics,2026-05-01,NOT_RELEVANT,HIGH,,,"Application paper reporting biological findings about immune dynamics in TNBC treatment response, not introducing a method or resource."
10.64898/2026.04.29.721569,Distinct complexes of RAD51 paralogs participate in different fork protection pathways,"Nagaraju, G.; Bhattacharya, D.; Dwivedi, H. K.; Sahoo, S.; Kadupatil, S.",cell-biology,2026-05-04,NOT_RELEVANT,HIGH,,,Cell biology study of RAD51 paralog function in DNA repair; no single-cell methods or resources.
10.1101/2025.10.10.681656,"DupyliCate: mining, classifying, and characterizing gene duplications","Natarajan, S.; Pucker, B.",bioinformatics,2026-05-06,NOT_RELEVANT,HIGH,,,Gene duplication analysis tool for comparative genomics; not designed for single-cell omics methods.
10.64898/2026.03.08.710357,Exploring per-base quality scores as a surrogate marker of cell-free DNA fragmentome,"Volkov, H. H. V.; Raitses-Gurevich, M.; Grad, M.; Shlayem, R.; Leibowitz, D.; Rubinek, T.; Golan, T.; Shomron, N.",bioinformatics,2026-05-05,NOT_RELEVANT,HIGH,,,"Application paper demonstrating a biological finding (cancer detection biomarker) using existing sequencing data, not introducing a new method or tool."
10.1101/2025.04.26.650733,Extrachromosomal DNA Gives Cancer a New Evolutionary Pathway,"Wang, Y.; Cope, O.; Chen, J.; Mehta, A.; Fleifel, D.; Ford, C.; Benhamie, P.; Haase, S.; Murrray, M.; Gulec, S.; Elston, T.; Spanheimer, P. M.; Tomblin, C. A.; Rojas, A.; Tate, T.; Slade, L.; Purvis, J.; Wang, J. R.; Dahl, J. M.; Wolff, S. C.; Cook, J.; Brunk, E. C.",genomics,2026-05-02,NOT_RELEVANT,HIGH,,,Biological finding about extrachromosomal DNA in cancer evolution; uses single-cell methods but not a new method/resource.
10.64898/2026.04.29.721604,Extraction-dependent bone proteomics reveals distinct stable and dynamic protein modules during early post-exposure degradation,"Najar, M. A.; Choudhary, N.; Abdulsalam, S.; Sajeevan, A.; Ahmad, M. N.",systems-biology,2026-05-04,NOT_RELEVANT,HIGH,,,Application of mass spectrometry proteomics to forensic/archaeological bone analysis; no single-cell or spatial omics method.
10.64898/2026.04.29.721745,FastDedup - A fast and memory-efficient tool for read deduplication,"Ribes, R.; Mandier, C.; Baniel, A.",bioinformatics,2026-05-04,NOT_RELEVANT,HIGH,,,"General-purpose sequencing read deduplication tool, not specific to single-cell RNA-seq or single-cell omics methods."
10.64898/2026.04.29.721551,Foxp4+ Mandibular Skeletal Stem Cells Orchestrate Bone/Tooth Development and Regeneration,"Zhang, L.; Cao, D.; Li, X.; Yu, H.; Wang, J.; Zhu, Q.; Zhang, X.; Chen, C.; Li, G.; Xu, X.; Xu, X.; Tao, D.; Gong, X.; Niu, P.; Wu, X.; Yu, M.; Yue, R.; Sun, Y.",cell-biology,2026-05-01,NOT_RELEVANT,HIGH,,,"Biological discovery paper about stem cell identity and regeneration; uses scRNA-seq as a tool but reports developmental/regenerative findings, not methodological contribution."
10.64898/2026.04.29.721650,From Generalist to Specialist: Evolution of PS2 α-integrins and Implications for Drug Targeting,"Liu, S.; Chen, Y.; Xu, R.-G.; Zhang, H.; Mostafa, F.; Liu, L.",bioinformatics,2026-05-01,NOT_RELEVANT,HIGH,,,"Evolutionary and structural biology study of integrin proteins; no single-cell methods, tools, or resources introduced."
10.64898/2026.04.30.719183,From fluke to fragment: a multifaceted method for molecular sex identification and mitochondrial haplotyping from environmental DNA samples,"Rodriguez, L. K.; Schallhart, S.; Hobmeier, P.; Curran, T.; Perez-Jorge, S.; Prieto, R.; Oliveira, C.; Silva, M. A.; Thalinger, B.",genomics,2026-05-04,NOT_RELEVANT,HIGH,,,"Application paper developing species-specific methods for wildlife conservation monitoring using eDNA, not a single-cell omics method or resource."
10.64898/2026.05.01.721428,Functional diversity across families of bacterial metalloregulators: what can we learn about specificity from sequence similarity?,"Rondon, J. J.; Antelo, G. T.; Capdevila, D. A.",bioinformatics,2026-05-05,NOT_RELEVANT,HIGH,,,"Focuses on bacterial metalloregulator annotation and discovery, not single-cell omics methods or tools."
10.64898/2026.04.30.721919,"Generation, Characterization and Comparison of Ovine Induced Pluripotent and Embryonic-Disc Stem Cells","Catarina Silva-Almeida, C.; Mee, P. J. J.; Esquiva Diaz, M.; Ali, W.; Ho, S.; Pickup, M.; Webb, S.; Rajesh, D.",cell-biology,2026-05-05,NOT_RELEVANT,HIGH,,,"Biological characterization of stem cell types; no new single-cell method, tool, or resource contribution."
10.64898/2026.03.30.708387,Genomes of two arid-zone marsupials uncover contrasting responses to climatic change,"Feigin, C. Y.; Trybulec, E.; Ferguson, R.; Scicluna, E. L.; Sauermann, R.; Hartley, G. A.; O'Neill, R. J.; Pask, A. J.",genomics,2026-05-02,NOT_RELEVANT,HIGH,,,"Genome assembly study reporting evolutionary and demographic findings about marsupials, not single-cell or omics methods."
10.64898/2026.04.30.721611,"Genomic Footprints of Bottlenecks, Isolation, and Inbreeding: A Case Study of Two Vulture Cohorts in India","Shukla, M.; Bohra, D. L.; Rao, B.; Narayan, L.; Kiran, S.; Thakur, V.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Conservation genetics application study; uses existing ddRAD sequencing and population genomic methods to study vulture populations, not a novel method or resource."
10.64898/2026.02.12.703632,Genomic Maxwell's Demon Control of Cancer Cell Fates: Integrated Biophysical Mechanisms of Fate Commitment,"Tsuchiya, M.; Yoshikawa, K.; Naimark, O.",genomics,2026-05-02,NOT_RELEVANT,HIGH,,,"Biological findings about cancer cell fate mechanisms using existing scRNA-seq data; no new method, tool, or resource."
10.1101/2025.06.26.658380,Glycosylation of Plasmodium falciparum TRAP supports sporozoite motility and invasion.,"Gupta, P.; Vigdorovich, V.; Rezakhani, N.; Pazzagli, L.; Patel, H.; Zanghi, G.; Kamil, M.; Watson, A.; Camargo, N.; Knutson, E.; Moritz, R. L.; Kappe, S. H.; Sather, D. N.; Vaughan, A. M.; Swearingen, K. E.",cell-biology,2026-05-05,NOT_RELEVANT,HIGH,,,"Application paper reporting biological findings about malaria parasite glycosylation, not a new method or resource."
10.64898/2026.04.29.721355,HERVs as building blocks of RNA regulatory architecture in the human genome,"Montserrat-Ayuso, T.; Pujol, A.; Esteve-Codina, A.",genomics,2026-05-01,NOT_RELEVANT,HIGH,,,"Genomic annotation study of HERV regulatory features; reports biological findings without introducing new single-cell methods, tools, or resources."
10.64898/2026.04.23.720444,Haplotype-phased assemblies of the two poplar rust fungi species: Melampsora larici-populina and Melampsora allii-populina,"Corre, E.; Morin, E.; Sperschneider, J.; Abdalrahem, A.; Pernaci, M.; Grigoriev, I. V.; Frey, P.; Duplessis, S.; Lorrain, C.",genomics,2026-05-01,NOT_RELEVANT,HIGH,,,"Fungal genome assembly project; biological/organismal focus, not a single-cell omics method, tool, or resource."
10.64898/2026.05.01.722254,Haplotype-resolved genome of autotetraploid alfalfa (Medicago sativa) Regen-SY27x uncovers large scale structural variation and resistance gene dynamics,"Kaur, H.; Cameron, C. T.; Gomez, A.; Mudge, J.; Farmer, A.; Shannon, L. M.; Samac, D. A.",genomics,2026-05-05,NOT_RELEVANT,HIGH,,,"Plant genome assembly paper; no single-cell sequencing, omics, or related methods."
10.64898/2026.04.30.721988,Histone H3K27 methylation states are sequentially catalyzed in cycling cells,"Greene, J. E.; Ahmad, K.; Henikoff, S.",genomics,2026-05-04,NOT_RELEVANT,HIGH,,,"Biological findings paper about H3K27 methylation dynamics; CUT&Tag is established method, not novel contribution."
